Date,Category,Product,Quantity,Unit Price,Discount %,Revenue,Shipping Cost,Profit,Region,Salesperson,Customer ID,Return Status
2024-01-01,Furniture,Bookshelf,2,$116.03,10%,$208.85,$6.87,$115.96,South,Carlos,CUST0101,No
2024-01-01,Electronics,Webcam,3,$45.91,0%,$137.73,$4.64,$43.76,West,Alice,CUST0028,No
2024-01-01,Furniture,Standing Desk,1,$611.61,10%,$550.45,$7.41,$209.12,Central,Diana,CUST0059,No
2024-01-01,Groceries,Coffee Beans,5,$9.99,10%,$44.96,$45.45,-$27.05,South,Hank,CUST0137,No
2024-01-01,Furniture,Office Chair,15,$159.75,20%,"$1,917.00",$20.42,"$1,122.46",East,Grace,CUST0195,No
2024-01-01,Groceries,Cheese,14,$6.20,10%,$78.12,$17.32,$11.34,South,Carlos,CUST0170,Yes
2024-01-01,Sports,Yoga Mat,10,$32.53,20%,$260.24,$9.28,$81.53,West,Carlos,CUST0146,No
2024-01-02,Electronics,Tablet,4,$326.20,20%,"$1,043.84",$22.00,$443.16,Central,Hank,CUST0106,No
2024-01-02,Electronics,Tablet,2,$671.49,0%,"$1,342.98",$8.46,$647.53,West,Bob,CUST0169,No
2024-01-02,Electronics,Tablet,3,$304.84,0%,$914.52,$15.06,$504.01,West,Grace,CUST0043,No
2024-01-02,Groceries,Pasta,17,$5.22,0%,$88.74,$48.83,-$16.05,South,Hank,CUST0003,No
2024-01-02,Furniture,Sofa,5,"$1,123.58",20%,"$4,494.32",$3.68,"$1,475.86",South,Alice,CUST0016,No
2024-01-03,Groceries,Chocolate,20,$5.16,0%,$103.20,$41.52,$6.80,Central,Carlos,CUST0070,No
2024-01-03,Electronics,Webcam,20,$114.55,0%,"$2,291.00",$34.99,$732.65,North,Frank,CUST0111,Yes
2024-01-03,Sports,Tennis Racket,20,$84.36,15%,"$1,434.12",$45.73,$724.69,South,Bob,CUST0158,No
2024-01-03,Clothing,Jacket,2,$147.22,0%,$294.44,$23.45,$108.54,South,Carlos,CUST0094,No
2024-01-04,Groceries,Chocolate,13,$7.61,5%,$93.98,$31.54,$19.01,South,Alice,CUST0132,No
2024-01-04,Electronics,Laptop,6,"$1,248.96",15%,"$6,369.70",$23.84,"$2,572.90",East,Frank,CUST0148,No
2024-01-04,Electronics,Laptop,18,"$1,075.03",20%,"$15,480.43",$26.07,"$9,009.06",East,Hank,CUST0052,No
2024-01-04,Furniture,Dining Table,9,$518.79,0%,"$4,669.11",$33.68,"$1,396.11",South,Frank,CUST0161,No
2024-01-05,Electronics,Webcam,14,$52.70,0%,$737.80,$41.70,$315.01,North,Diana,CUST0051,No
2024-01-05,Furniture,Dining Table,19,$849.19,15%,"$13,714.42",$30.53,"$5,797.22",Central,Carlos,CUST0107,No
2024-01-05,Electronics,Webcam,10,$84.16,10%,$757.44,$37.97,$296.54,South,Hank,CUST0037,No
2024-01-05,Electronics,Smartphone,14,$730.14,5%,"$9,710.86",$23.16,"$4,412.57",South,Frank,CUST0004,No
2024-01-06,Furniture,Dining Table,15,$386.84,5%,"$5,512.47",$49.01,"$1,743.84",Central,Alice,CUST0190,No
2024-01-08,Clothing,T-Shirt,12,$49.51,15%,$505.00,$18.92,$170.50,West,Bob,CUST0035,Yes
2024-01-08,Clothing,Sneakers,3,$64.63,20%,$155.11,$45.35,$25.67,North,Carlos,CUST0176,No
2024-01-08,Sports,Running Shoes,17,$138.12,15%,"$1,995.83",$35.19,$997.39,West,Bob,CUST0103,Yes
2024-01-09,Electronics,Headphones,19,$277.24,5%,"$5,004.18",$17.56,"$2,812.52",South,Alice,CUST0121,No
2024-01-09,Clothing,Jeans,11,$37.12,0%,$408.32,$20.39,$159.01,Central,Eve,CUST0131,No
2024-01-09,Electronics,Smartphone,3,$811.65,15%,"$2,069.71",$32.76,"$1,043.91",Central,Bob,CUST0003,No
2024-01-09,Electronics,Headphones,19,$244.74,20%,"$3,720.05",$40.24,"$1,869.92",South,Hank,CUST0175,No
2024-01-09,Clothing,Jeans,6,$67.04,0%,$402.24,$19.19,$167.32,South,Bob,CUST0198,No
2024-01-09,Furniture,Office Chair,20,$213.61,0%,"$4,272.20",$5.50,"$1,718.64",East,Frank,CUST0028,No
2024-01-10,Electronics,Headphones,18,$36.46,0%,$656.28,$32.89,$224.35,North,Grace,CUST0189,Yes
2024-01-10,Furniture,Office Chair,4,$202.79,20%,$648.93,$5.37,$291.73,West,Diana,CUST0069,No
2024-01-10,Sports,Running Shoes,15,$176.81,20%,"$2,121.72",$27.62,$693.34,North,Diana,CUST0113,No
2024-01-11,Sports,Yoga Mat,7,$31.79,0%,$222.53,$14.95,$97.35,South,Alice,CUST0034,No
2024-01-11,Sports,Tennis Racket,4,$49.48,0%,$197.92,$5.03,$95.81,North,Diana,CUST0151,No
2024-01-11,Furniture,Sofa,10,"$1,378.00",0%,"$13,780.00",$49.31,"$5,630.99",South,Eve,CUST0046,No
2024-01-12,Sports,Tennis Racket,6,$48.80,0%,$292.80,$3.60,$160.03,East,Eve,CUST0043,No
2024-01-13,Clothing,Jacket,9,$103.75,20%,$747.00,$33.69,$241.60,Central,Frank,CUST0068,No
2024-01-13,Clothing,Dress,1,$92.31,20%,$73.85,$36.93,-$13.92,East,Diana,CUST0033,No
2024-01-13,Electronics,Headphones,20,$107.72,0%,"$2,154.40",$48.58,$744.54,Central,Bob,CUST0001,No
2024-01-13,Furniture,Office Chair,9,$346.75,5%,"$2,964.71",$13.35,"$1,726.33",South,Grace,CUST0146,Yes
2024-01-15,Sports,Tennis Racket,19,$78.69,0%,"$1,495.11",$7.66,$630.09,South,Eve,CUST0044,No
2024-01-15,Electronics,Headphones,20,$274.94,0%,"$5,498.80",$14.41,"$2,214.61",North,Eve,CUST0025,No
2024-01-16,Sports,Running Shoes,4,$165.92,0%,$663.68,$10.02,$333.71,Central,Bob,CUST0053,Yes
2024-01-16,Electronics,Headphones,7,$192.75,5%,"$1,281.79",$36.12,$520.51,East,Diana,CUST0165,No
2024-01-16,Clothing,Dress,19,$29.15,15%,$470.77,$36.35,$177.40,South,Frank,CUST0170,No
2024-01-17,Clothing,Sneakers,3,$135.45,0%,$406.35,$20.78,$206.91,Central,Grace,CUST0039,No
2024-01-17,Groceries,Chocolate,13,$7.94,10%,$92.90,$44.62,-$8.62,South,Frank,CUST0104,No
2024-01-18,Groceries,Cheese,1,$12.23,10%,$11.01,$4.56,$1.61,North,Hank,CUST0015,No
2024-01-18,Electronics,Laptop,20,$833.76,10%,"$15,007.68",$18.99,"$7,959.66",South,Frank,CUST0042,No
2024-01-18,Groceries,Cheese,6,$10.70,0%,$64.20,$45.87,-$18.28,West,Frank,CUST0139,No
2024-01-18,Sports,Dumbbells,8,$111.40,0%,$891.20,$3.13,$265.86,West,Carlos,CUST0029,No
2024-01-18,Clothing,Jeans,19,$46.66,15%,$753.56,$43.73,$265.79,South,Carlos,CUST0189,No
2024-01-18,Sports,Running Shoes,17,$147.53,0%,"$2,508.01",$33.89,"$1,048.70",East,Alice,CUST0089,No
